"uniqueID","date","spp","age","temp","dur1","dur2","ID","branch","spc1","EC1","temp1","spc2","EC2","temp2","percentEC"
309,"7/1/2023","PIPO","n",25,6000,6000,120,1,45.7522035,44.15,26.9,172.528902,172.2,25.1,26.5185733924163
310,"7/1/2023","PIPO","o",25,6000,6000,121,1,14.0728182,13.58,26.9,141.3,141.3,25,9.95953163481953
311,"7/1/2023","PIPO","n",45,6000,6000,122,1,92.3127132,89.08,26.9,198.6,198.6,25,46.4817287009063
312,"7/1/2023","PIPO","o",45,6000,6000,123,1,80.0534025,77.25,26.9,152.3,152.3,25,52.562969468155
313,"7/1/2023","PIPO","n",25,6000,6000,124,2,47.373066,45.63,27,166.01139,162.9,26,28.5360335817922
314,"7/1/2023","PIPO","o",25,6000,6000,125,2,15.531472,14.96,27,144.064511,141.1,26.1,10.78091466954
315,"7/1/2023","PIPO","n",45,6000,6000,126,2,89.4836415,86.35,26.9,173.691816,169.8,26.2,51.5186285460911
316,"7/1/2023","PIPO","o",45,6000,6000,127,2,63.7732866,61.54,26.9,174.631032,170.4,26.3,36.5188740337972
317,"7/1/2023","PIPO","n",25,6000,6000,128,3,37.5271688,36.08,27.1,173.724408,169.2,26.4,21.6015522700759
318,"7/1/2023","PIPO","o",25,6000,6000,129,3,13.2718036,12.76,27.1,125.439192,122.4,26.3,10.5802687249452
319,"7/1/2023","PIPO","n",45,6000,6000,130,3,88.236618,84.99,27,160.078446,156.2,26.3,55.1208611807738
320,"7/1/2023","PIPO","o",45,6000,6000,131,3,55.4274619,53.29,27.1,138.557016,135.2,26.3,40.0033599886418
321,"7/1/2023","PIPO","n",25,4750,4750,132,4,34.0603523,32.39,27.7,153.744876,150.3,26.2,22.1538129830096
322,"7/1/2023","PIPO","o",25,4750,4750,133,4,12.3559475,11.75,27.7,116.905645,114.5,26.1,10.5691624215409
323,"7/1/2023","PIPO","n",45,4750,4750,134,4,58.0046012,55.16,27.7,160.496148,156.9,26.2,36.1408058217073
324,"7/1/2023","PIPO","o",45,4750,4750,135,4,69.9826764,66.43,27.8,165.610748,161.9,26.2,42.2573276463916
325,"7/1/2023","PIPO","n",25,4750,4750,136,5,31.0313556,29.78,27.2,183.478438,178.7,26.4,16.9128078145073
326,"7/1/2023","PIPO","o",25,4750,4750,137,5,19.0964196,18.36,27.1,222.593076,217.2,26.3,8.57907170481799
327,"7/1/2023","PIPO","n",45,4750,4750,138,5,84.789794,81.67,27,185.864564,181.7,26.2,45.6191283455194
328,"7/1/2023","PIPO","o",45,4750,4750,139,5,95.7946476,92.44,26.9,225.030604,220.4,26.1,42.5696087097558
329,"7/1/2023","PIPO","n",25,4750,4750,140,6,40.1274438,38.58,27.1,172.771188,168.9,26.2,23.2257729222768
330,"7/1/2023","PIPO","o",25,4750,4750,141,6,14.659384,14.12,27,137.839635,134.5,26.3,10.6351007096036
331,"7/1/2023","PIPO","n",45,4750,4750,142,6,89.316346,86.03,27,191.899792,187.6,26.2,46.5432218915589
332,"7/1/2023","PIPO","o",45,4750,4750,143,6,59.5763121,57.49,26.9,170.100266,166.6,26.1,35.0242321784494
333,"7/1/2023","PIPO","n",25,3500,3500,144,7,51.6310604,49.64,27.1,185.250812,181.1,26.2,27.870895594239
334,"7/1/2023","PIPO","o",25,3500,3500,145,7,13.4798256,12.96,27.1,141.981296,138.8,26.2,9.49408547446982
335,"7/1/2023","PIPO","n",45,3500,3500,146,7,78.22837,75.35,27,202.53816,198,26.2,38.6240153460464
336,"7/1/2023","PIPO","o",45,3500,3500,147,7,32.921322,31.71,27,130.485078,127.8,26.1,25.2299515811302
337,"7/1/2023","PIPO","n",25,3500,3500,148,8,40.5033174,38.87,27.2,151.777323,148.1,26.3,26.6860138256622
338,"7/1/2023","PIPO","o",25,3500,3500,149,8,11.9716661,11.51,27.1,91.55134,89.5,26.2,13.0764509836776
339,"7/1/2023","PIPO","n",45,3500,3500,150,8,60.7320229,58.39,27.1,138.653158,135.8,26.1,43.8013989555146
340,"7/1/2023","PIPO","o",45,3500,3500,151,8,17.898568,17.24,27,97.7706936,95.58,26.2,18.3066799886137
341,"7/1/2023","PIPO","n",25,3500,3500,152,9,50.2025937,48.09,27.3,128.85587,125.5,26.4,38.9602690975584
342,"7/1/2023","PIPO","o",25,3500,3500,153,9,11.2741552,10.78,27.4,117.957933,115.1,26.3,9.55777616076063
343,"7/1/2023","PIPO","n",45,3500,3500,154,9,66.8010807,63.99,27.3,141.16296,138,26.2,47.3219608741557
344,"7/1/2023","PIPO","o",45,3500,3500,155,9,36.4122784,34.88,27.3,110.983787,108.7,26.1,32.8086465458239
385,"7/3/2023","PIPO","n",25,3170,3170,198,16,34.8844968,34.62,25.4,182.137703,181.1,25.3,19.1528147250215
386,"7/3/2023","PIPO","o",25,3170,3170,199,16,10.8122805,10.71,25.5,99.75636,99,25.4,10.8386878791488
387,"7/3/2023","PIPO","n",50,3170,3170,200,16,120.667178,119.3,25.6,201.809045,199.9,25.5,59.7927501217797
388,"7/3/2023","PIPO","o",50,3170,3170,201,16,69.7806254,68.99,25.6,120.94409,119.8,25.5,57.6965979900299
429,"7/6/2023","PIPO","n",25,500,500,13,18,22.8410784,21.92,27.2,271.15214,263.6,26.5,8.4237131228247
431,"7/6/2023","PIPO","n",55,500,500,15,18,259.150374,248.7,27.2,338.208156,329.4,26.4,76.6245193684803
434,"7/6/2023","PIPO","o",25,500,500,18,19,11.087976,10.68,27,116.772357,113.1,26.7,9.49537740340379
436,"7/6/2023","PIPO","o",55,500,500,26,19,111.395781,107.1,27.1,161.581555,156.5,26.7,68.9409017013111
437,"7/6/2023","PIPO","n",25,500,500,27,20,19.6892823,18.93,27.1,197.91226,192.4,26.5,9.948490457337
438,"7/6/2023","PIPO","o",25,500,500,28,20,11.191796,10.78,27,102.8086656,99.76,26.6,10.8860434426259
439,"7/6/2023","PIPO","n",55,500,500,30,20,139.478751,134.1,27.1,233.112672,226.2,26.6,59.8331913075923
440,"7/6/2023","PIPO","o",55,500,500,31,20,121.15794,116.7,27,158.294016,153.6,26.6,76.5398105762886
441,"7/6/2023","PIPO","n",25,50,50,32,21,14.2807103,13.73,27.1,177.499608,171.6,26.8,8.04548835961373
442,"7/6/2023","PIPO","o",25,50,50,33,21,11.6810442,11.21,27.2,125.263418,121.1,26.8,9.32518398947089
444,"7/6/2023","PIPO","o",55,50,50,35,21,16.4732154,15.78,27.3,125.805606,121.4,26.9,13.0941823053577
457,"7/6/2023","PIPO","n",25,20,20,49,22,24.8378268,23.88,27.1,226.420671,219.3,26.7,10.9697699818229
458,"7/6/2023","PIPO","o",25,20,20,50,22,10.371618,9.99,27,122.160278,118.1,26.8,8.49017223094401
459,"7/6/2023","PIPO","n",60,20,20,51,22,56.998028,54.8,27.1,249.331374,240.6,26.9,22.8603513009959
460,"7/6/2023","PIPO","o",60,20,20,52,22,20.265664,19.52,27,141.3188673,136.37,26.9,14.3403810030396
461,"7/6/2023","PIPO","n",25,65,65,53,23,32.5601767,31.19,27.3,236.39814,227.7,27,13.7734487674057
463,"7/6/2023","PIPO","n",60,65,65,55,23,112.954968,108.4,27.2,246.98778,237.9,27,45.7330188562365
481,"7/6/2023","PIPO","n",25,10,10,73,25,29.3282873,27.89,27.7,200.590026,191.1,27.6,14.6210097704459
482,"7/6/2023","PIPO","o",25,10,10,74,25,9.6883618,9.23,27.6,101.9076487,96.91,27.7,9.50700160742694
483,"7/6/2023","PIPO","n",65,10,10,75,25,135.683625,129.5,27.5,227.986152,217.2,27.6,59.513976533101
484,"7/6/2023","PIPO","o",65,10,10,76,25,14.563725,13.9,27.5,100.9297575,96.33,27.5,14.4295650368525
485,"7/6/2023","PIPO","n",25,30,30,77,26,48.6351125,46.25,27.7,282.26385,269.4,27.5,17.230372398024
486,"7/6/2023","PIPO","o",25,30,30,78,26,14.7582196,14.06,27.6,155.620992,148.8,27.4,9.48343755577654
487,"7/6/2023","PIPO","n",65,30,30,79,26,147.47723,140.5,27.6,255.755775,244.1,27.5,57.6633039859999
488,"7/6/2023","PIPO","o",65,30,30,80,26,42.2976675,40.37,27.5,148.99005,142.2,27.5,28.3895921237693
489,"7/6/2023","PIPO","n",25,50,50,81,27,24.6355202,23.47,27.6,238.377786,227.1,27.6,10.3346543372963
490,"7/6/2023","PIPO","o",25,50,50,82,27,11.7355212,11.16,27.7,135.40614,129,27.6,8.66690476517535
491,"7/6/2023","PIPO","n",65,50,50,83,27,131.761721,125.3,27.7,238.587718,227.3,27.6,55.2256931347992
492,"7/6/2023","PIPO","o",65,50,50,84,27,49.33402,47,27.6,117.13845,111.8,27.5,42.1159918028623
493,"7/7/2023","PIPO","n",25,2250,2250,85,28,50.8088952,48.76,27.2,223.52446,215.3,27,22.7307987680632
494,"7/7/2023","PIPO","o",25,2250,2250,86,28,14.34762,14,26.3,108.085047,104.3,26.9,13.2743801277155
495,"7/7/2023","PIPO","n",45,2250,2250,87,28,71.6561846,69.79,26.4,223.219204,215.8,26.8,32.1012633841307
496,"7/7/2023","PIPO","o",45,2250,2250,88,28,20.3602542,19.83,26.4,128.707218,124.2,26.9,15.8190461392771
497,"7/7/2023","PIPO","n",25,2250,2250,89,29,36.0180392,35.08,26.4,241.941482,233.9,26.8,14.8870871180329
498,"7/7/2023","PIPO","o",25,2250,2250,90,29,12.2798104,11.96,26.4,140.002779,135.1,26.9,8.77111903614428
499,"7/7/2023","PIPO","n",45,2250,2250,91,29,71.059142,69.08,26.5,252.595596,244.2,26.8,28.1315838934896
500,"7/7/2023","PIPO","o",45,2250,2250,92,29,13.660472,13.28,26.5,137.779416,133.2,26.8,9.91474082021076
501,"7/7/2023","PIPO","n",25,2250,2250,93,30,32.196745,31.3,26.5,172.327708,166.6,26.8,18.6834406223287
502,"7/7/2023","PIPO","o",25,2250,2250,94,30,11.1606638,10.87,26.4,122.884344,118.8,26.8,9.08225038008096
503,"7/7/2023","PIPO","n",45,2250,2250,95,30,50.002238,48.7,26.4,152.023743,146.7,26.9,32.8910714953256
504,"7/7/2023","PIPO","o",45,2250,2250,96,30,13.937688,13.6,26.3,125.987484,121.8,26.8,11.0627560432908
505,"7/7/2023","PIPO","n",25,1000,1000,97,31,45.2484318,44.07,26.4,213.8692,206,27,21.1570585198804
506,"7/7/2023","PIPO","o",25,1000,1000,98,31,9.340142,9.08,26.5,93.2770648,89.68,27.1,10.0133318088714
507,"7/7/2023","PIPO","n",45,1000,1000,99,31,55.0731264,53.44,26.6,186.387712,179.2,27.1,29.5476165295704
508,"7/7/2023","PIPO","o",45,1000,1000,100,31,10.2746832,9.97,26.6,83.99038,80.9,27,12.2331667031391
509,"7/7/2023","PIPO","n",25,1000,1000,101,32,21.7551216,21.11,26.6,175.66344,169.2,27,12.3845471772612
510,"7/7/2023","PIPO","o",25,1000,1000,102,32,8.393784,8.16,26.5,82.74454,79.7,27,10.1442149536392
511,"7/7/2023","PIPO","n",45,1000,1000,103,32,31.4869765,30.61,26.5,164.45088,158.4,27,19.1467363993431
512,"7/7/2023","PIPO","o",45,1000,1000,104,32,10.8517968,10.53,26.6,94.974536,91.48,27,11.4260066508775
513,"7/7/2023","PIPO","n",25,1000,1000,105,33,42.836132,41.26,27,199.74968,192.4,27,21.4449064449064
514,"7/7/2023","PIPO","o",25,1000,1000,106,33,11.1395781,10.71,27.1,109.939627,105.7,27.1,10.1324503311258
515,"7/7/2023","PIPO","n",45,1000,1000,107,33,48.3339117,46.47,27.1,193.72812,186.6,27,24.9493525772098
516,"7/7/2023","PIPO","o",45,1000,1000,108,33,10.6507264,10.24,27.1,110.0492,106,27,9.67814977301062
526,"7/7/2023","PIPO","o",25,2250,2250,118,36,11.2121352,10.76,27.2,91.8456688,87.82,27.4,12.2075818560537
528,"7/7/2023","PIPO","o",50,2250,2250,120,36,104.219022,100.2,27.1,132.440742,127.1,27.2,78.691058677397
529,"7/7/2023","PIPO","n",25,1375,1375,121,37,32.0249869,30.79,27.1,205.79895,197.5,27.2,15.5612975187677
530,"7/7/2023","PIPO","o",25,1375,1375,122,37,10.4097798,9.99,27.2,108.995292,104.6,27.2,9.55066921606118
531,"7/7/2023","PIPO","n",50,1375,1375,123,37,129.134141,123.7,27.3,243.444476,233.2,27.3,53.0445969125214
532,"7/7/2023","PIPO","o",50,1375,1375,124,37,116.081028,111.4,27.2,135.645448,129.7,27.4,85.5767957653839
533,"7/7/2023","PIPO","n",25,1375,1375,125,38,40.5053832,38.73,27.4,143.698454,136.9,27.6,28.1877654717148
534,"7/7/2023","PIPO","o",25,1375,1375,126,38,9.0001725,8.59,27.5,82.5767522,78.67,27.6,10.8991601876054
535,"7/7/2023","PIPO","n",50,1375,1375,127,38,98.5525774,93.89,27.6,152.515598,145.3,27.6,64.6180316586373
536,"7/7/2023","PIPO","o",50,1375,1375,128,38,103.4443575,98.73,27.5,129.553424,123.2,27.7,79.8468726693013
537,"7/7/2023","PIPO","n",25,1375,1375,129,39,23.3954408,22.37,27.4,205.418462,195.7,27.6,11.3891617005681
538,"7/7/2023","PIPO","o",25,1375,1375,130,39,12.1631192,11.63,27.4,101.1602625,96.55,27.5,12.023613718875
539,"7/7/2023","PIPO","n",50,1375,1375,131,39,162.418952,155.3,27.4,263.46466,251,27.6,61.6473389637912
