uniqueID,date,spp,age,temp,dur1,dur2,ID,branch,EC1,temp1,EC2,temp2
1,9/13/2023,PSME,n,25,2,0:02,1,1,8.02,22.5,68.2,21.7
2,9/13/2023,PSME,o,25,2,0:02,2,1,4.61,22.5,29.74,21.6
3,9/13/2023,PSME,n,65,2,0:02,3,1,14.21,22.5,47.62,21.7
4,9/13/2023,PSME,o,65,2,0:02,4,1,8.84,22.5,40.56,21.6
5,9/13/2023,PSME,n,25,2,0:02,5,2,4.09,22.4,54.49,21.6
6,9/13/2023,PSME,o,25,2,0:02,6,2,4.98,22.5,53.56,51.6
7,9/13/2023,PSME,n,65,2,0:02,7,2,11.9,22.5,67.48,21.5
8,9/13/2023,PSME,o,65,2,0:02,8,2,14.06,22.6,71.29,21.6
9,9/13/2023,PSME,n,25,2,0:02,9,3,8.62,22.5,80.72,21.7
10,9/13/2023,PSME,o,25,2,0:02,10,3,4.95,22.4,44.54,21.6
11,9/13/2023,PSME,n,65,2,0:02,11,3,23.82,22.5,68.66,21.7
12,9/13/2023,PSME,o,65,2,0:02,12,3,12.03,22.6,50.82,21.7
13,9/13/2023,PSME,n,25,5,0:05,13,4,8.32,22.3,104.4,21.8
14,9/13/2023,PSME,o,25,5,0:05,14,4,6.5,22.4,53.84,21.7
15,9/13/2023,PSME,n,65,5,0:05,15,4,50.01,22.4,112,21.7
16,9/13/2023,PSME,o,65,5,0:05,16,4,44.55,22.4,85.96,21.7
17,9/13/2023,PSME,n,25,5,0:05,17,5,7.53,22.5,73.37,21.9
18,9/13/2023,PSME,o,25,5,0:05,18,5,6.62,22.6,59.57,21.9
19,9/13/2023,PSME,n,65,5,0:05,19,5,35.47,22.6,84.86,22
20,9/13/2023,PSME,o,65,5,0:05,26,5,27.8,22.5,62.39,21.9
21,9/13/2023,PSME,n,25,5,0:05,27,6,8.87,22.4,92.65,21.9
22,9/13/2023,PSME,o,25,5,0:05,28,6,7.54,22.5,74.74,22
23,9/13/2023,PSME,n,65,5,0:05,30,6,50.3,22.5,110.8,22
24,9/13/2023,PSME,o,65,5,0:05,31,6,39.79,22.6,91.91,22.1
25,9/13/2023,PSME,n,25,10,0:10,32,7,6.89,22.3,94.1,22.1
26,9/13/2023,PSME,o,25,10,0:10,33,7,7.24,22.4,72.82,22.1
27,9/13/2023,PSME,n,65,10,0:10,34,7,58.23,22.3,113.9,22
28,9/13/2023,PSME,o,65,10,0:10,35,7,43.45,22.4,75.43,22
29,9/13/2023,PSME,n,25,10,0:10,36,8,10.14,22.5,109.5,22.2
30,9/13/2023,PSME,o,25,10,0:10,37,8,6.36,22.5,58,22.3
31,9/13/2023,PSME,n,65,10,0:10,39,8,65.69,22.6,126.8,22.3
32,9/13/2023,PSME,o,65,10,0:10,40,8,38.49,22.5,62.94,22.3
33,9/13/2023,PSME,n,25,10,0:10,41,9,5.57,22.5,80.36,22.5
34,9/13/2023,PSME,o,25,10,0:10,42,9,7.32,22.5,84.26,22.4
35,9/13/2023,PSME,n,65,10,0:10,43,9,38.97,22.6,80.15,22.5
36,9/13/2023,PSME,o,65,10,0:10,44,9,45.67,22.7,84.11,22.5
37,9/13/2023,PSME,n,25,30,0:30,45,10,7.82,22.7,80.7,22.6
38,9/13/2023,PSME,o,25,30,0:30,46,10,5.83,22.7,55.92,22.5
39,9/13/2023,PSME,n,65,30,0:30,47,10,41.43,22.7,75.98,22.6
40,9/13/2023,PSME,o,65,30,0:30,48,10,30.77,22.7,62.65,22.5
41,9/13/2023,PSME,n,25,30,0:30,49,11,5.77,22.7,60.33,22.5
42,9/13/2023,PSME,o,25,30,0:30,50,11,8.23,22.8,64.97,22.5
43,9/13/2023,PSME,n,65,30,0:30,51,11,32.59,22.7,56.46,22.4
44,9/13/2023,PSME,o,65,30,0:30,52,11,25.11,22.6,44.38,22.4
45,9/13/2023,PSME,n,25,30,0:30,53,12,6.61,22.6,85.57,22.3
46,9/13/2023,PSME,o,25,30,0:30,54,12,6.04,22.5,60.84,22.3
47,9/13/2023,PSME,n,65,30,0:30,55,12,49.6,22.6,88.4,22.2
48,9/13/2023,PSME,o,65,30,0:30,56,12,42.67,22.7,80.38,22.2
49,9/13/2023,PIPO,n,25,5,0:05,57,1,9.39,22.6,132.4,22.5
50,9/13/2023,PIPO,o,25,5,0:05,58,1,7.7,22.7,116.9,22.4
51,9/13/2023,PIPO,n,65,5,0:05,59,1,16.52,22.7,144.8,22.4
52,9/13/2023,PIPO,o,65,5,0:05,60,1,11.06,22.8,132,22.5
53,9/13/2023,PIPO,n,25,5,0:05,61,2,9.4,22.8,132.9,22.6
54,9/13/2023,PIPO,o,25,5,0:05,62,2,9.38,22.7,96.6,22.5
55,9/13/2023,PIPO,n,65,5,0:05,63,2,21.6,22.7,159.6,22.6
56,9/13/2023,PIPO,o,65,5,0:05,64,2,18.32,22.7,162,22.6
57,9/13/2023,PIPO,n,25,5,0:05,65,3,11.28,22.6,157,22.8
58,9/13/2023,PIPO,o,25,5,0:05,66,3,13.35,22.7,185.4,22.7
59,9/13/2023,PIPO,n,65,5,0:05,67,3,10.27,22.7,140.5,22.7
60,9/13/2023,PIPO,o,65,5,0:05,68,3,12.14,22.6,139.5,22.7
