"spp","branch","age","temp","duration","treatment","EC.control","survival.control","EC.treatment","survival.treatment","survival_final"
"PSME",1,"n","45",6000,"45_6000_n",23.0600972135484,76.9399027864516,64.7085286300755,35.2914713699245,45.8688795953859
"PSME",1,"o","45",6000,"45_6000_o",9.17265245682708,90.8273475431729,77.2040529176667,22.7959470823333,25.098109433943
"PSME",2,"n","45",6000,"45_6000_n",35.067729292492,64.932270707508,70.5820041989496,29.4179958010504,45.3056630863348
"PSME",2,"o","45",6000,"45_6000_o",9.63352226653301,90.366477733467,83.9314024227774,16.0685975772226,17.7815911168038
"PSME",3,"n","45",6000,"45_6000_n",7.97398103535689,92.0260189646431,68.070242532253,31.929757467747,34.6964454476887
"PSME",3,"o","45",6000,"45_6000_o",6.40473670858849,93.5952632914115,93.1614021295723,6.83859787042772,7.30656406097769
"PSME",4,"n","45",4750,"45_4750_n",21.206674947656,78.793325052344,73.5406190989801,26.4593809010199,33.5807390834723
"PSME",4,"o","45",4750,"45_4750_o",5.52808751804849,94.4719124819515,64.5088082627114,35.4911917372886,37.567982699693
"PSME",5,"n","45",1000,"45_1000_n",9.44680125576632,90.5531987442337,56.7503207411696,43.2496792588304,47.7616250542275
"PSME",5,"o","45",1000,"45_1000_o",8.85153344974224,91.1484665502578,20.4202483487148,79.5797516512852,87.3078337608743
"PSME",6,"o","45",3500,"45_3500_o",8.36055937121237,91.6394406287876,22.1450007293211,77.8549992706789,84.9579599531313
"PSME",7,"o","45",2250,"45_2250_o",7.10473836167598,92.895261638324,16.9043129569264,83.0956870430736,89.4509424674384
"PSME",8,"n","45",1000,"45_1000_n",41.6925770312877,58.3074229687123,60.2641107287289,39.7358892712711,68.1489375591052
"PSME",8,"o","45",1000,"45_1000_o",7.762736952068,92.237263047932,15.7141695085502,84.2858304914498,91.3793706645977
"PSME",9,"n","45",4750,"45_4750_n",15.5981641364254,84.4018358635746,70.45426217236,29.54573782764,35.0060369248332
"PSME",9,"o","45",4750,"45_4750_o",6.80977833984767,93.1902216601523,71.3275036686134,28.6724963313866,30.7677091229055
"PSME",10,"n","45",4750,"45_4750_n",8.43896346158478,91.5610365384152,59.2908415049555,40.7091584950445,44.4612250298899
"PSME",10,"o","45",4750,"45_4750_o",5.47578025856092,94.5242197414391,38.1217587694224,61.8782412305776,65.4628426448152
"PSME",11,"n","45",3500,"45_3500_n",6.29930648889357,93.7006935111064,63.7331086038243,36.2668913961757,38.7050405255293
"PSME",11,"o","45",3500,"45_3500_o",7.58871073398043,92.4112892660196,28.5348879933519,71.4651120066481,77.3337463141816
"PSME",12,"n","45",3500,"45_3500_n",6.19296818821971,93.8070318117803,60.2257370656216,39.7742629343784,42.4000868231112
"PSME",12,"o","45",3500,"45_3500_o",5.98759612917859,94.0124038708214,27.0704701749652,72.9295298250348,77.5743697876764
"PSME",13,"n","45",2250,"45_2250_n",6.2006355502879,93.7993644497121,71.5498442367601,28.4501557632399,30.330861973476
"PSME",13,"o","45",2250,"45_2250_o",4.97089255014766,95.0291074498523,32.107879456773,67.892120543227,71.4435001707811
"PSME",14,"n","45",2250,"45_2250_n",17.6519256726611,82.3480743273389,50.3583095135188,49.6416904864812,60.2827581482383
"PSME",15,"n","45",1000,"45_1000_n",8.97482410872033,91.0251758912797,58.2309212432399,41.7690787567601,45.8873914252569
"PSME",15,"o","45",1000,"45_1000_o",5.99968248432767,94.0003175156723,9.27010903968315,90.7298909603169,96.5208345654681
"PSME",16,"o","50",3125,"50_3125_o",7.63487073870415,92.3651292612958,72.7736648826459,27.2263351173541,29.4768548857138
"PSME",18,"o","50",3125,"50_3125_o",6.46174516922844,93.5382548307715,65.6423549792733,34.3576450207267,36.7311161437492
"PSME",19,"n","50",3125,"50_3125_n",39.8573340730871,60.1426659269129,70.2573784313726,29.7426215686274,49.4534472495308
"PSME",19,"o","50",3125,"50_3125_o",5.54788276601666,94.4521172339833,67.6430145886245,32.3569854113755,34.2575543661118
"PSME",20,"n","50",3125,"50_3125_n",11.94461005818,88.05538994182,60.9499687691076,39.0500312308924,44.3471220293199
"PSME",21,"n","50",3125,"50_3125_n",43.5763558396537,56.4236441603463,65.5713986151712,34.4286013848288,61.0180393293787
"PSME",22,"n","50",2250,"50_2250_n",11.7975182172319,88.2024817827681,60.7415766918553,39.2584233081447,44.5094316108173
"PSME",23,"n","50",2250,"50_2250_n",38.6189102875717,61.3810897124283,70.6044815929033,29.3955184070967,47.8901866109176
"PSME",23,"o","50",2250,"50_2250_o",6.06079322555676,93.9392067744432,62.4660986840793,37.5339013159207,39.95552294373
"PSME",24,"n","50",2250,"50_2250_n",14.7178413861203,85.2821586138797,65.1565736167364,34.8434263832636,40.8566421741497
"PSME",24,"o","50",2250,"50_2250_o",9.35713261648745,90.6428673835125,67.7675445242802,32.2324554757198,35.5598365388679
"PSME",25,"n","50",1375,"50_1375_n",26.6643386075949,73.3356613924051,63.5209197860963,36.4790802139037,49.7426211494994
"PSME",25,"o","50",1375,"50_1375_o",7.42463235294118,92.5753676470588,56.3239668576618,43.6760331423382,47.1788924553364
"PSME",26,"n","50",1375,"50_1375_n",8.71953084555462,91.2804691544454,43.2669665457477,56.7330334542523,62.1524341184758
"PSME",26,"o","50",1375,"50_1375_o",5.69976030958812,94.3002396904119,65.9741248090929,34.0258751909071,36.0824906729974
"PSME",27,"n","50",1375,"50_1375_n",22.9946134821624,77.0053865178376,65.1040864553314,34.8959135446686,45.3161981552878
"PSME",27,"o","50",1375,"50_1375_o",6.70488386393313,93.2951161360669,65.1748638497955,34.8251361502045,37.3279305418448
"PSME",28,"n","50",500,"50_500_n",10.2827892347743,89.7172107652257,48.1757656549164,51.8242343450836,57.763982967213
"PSME",28,"o","50",500,"50_500_o",7.8562246306265,92.1437753693735,27.5193544218904,72.4806455781096,78.6603818733919
"PSME",29,"n","50",500,"50_500_n",13.8432099835181,86.1567900164819,62.6475680073103,37.3524319926897,43.3540200204117
"PSME",29,"o","50",500,"50_500_o",10.1906811819596,89.8093188180404,30.6235207777354,69.3764792222646,77.2486420510837
"PSME",30,"n","50",500,"50_500_n",30.897452173913,69.102547826087,66.228515869774,33.771484130226,48.8715469872688
"PSME",31,"n","55",500,"55_500_n",13.4507600471543,86.5492399528457,64.182046718818,35.817953281182,41.3844804422276
"PSME",31,"o","55",500,"55_500_o",7.1192953306617,92.8807046693383,76.451900334657,23.548099665343,25.3530587964162
"PSME",32,"n","55",500,"55_500_n",19.7618430642617,80.2381569357383,76.440598251259,23.559401748741,29.3618431036612
"PSME",32,"o","55",500,"55_500_o",8.69168930386341,91.3083106961366,85.396519560924,14.603480439076,15.9935939321829
"PSME",33,"n","55",500,"55_500_n",9.80349595172421,90.1965040482758,74.5484791900005,25.4515208099995,28.2178573089453
"PSME",33,"o","55",500,"55_500_o",6.90724566417603,93.092754335824,77.0877585035303,22.9122414964697,24.6122715564047
"PSME",34,"n","55",380,"55_380_n",17.2719002109763,82.7280997890237,77.6003454772553,22.3996545227447,27.0762347737578
"PSME",34,"o","55",380,"55_380_o",12.726875629032,87.273124370968,84.2957849791053,15.7042150208947,17.9943311690566
"PSME",35,"n","55",380,"55_380_n",23.5086187151469,76.4913812848531,73.7793490567855,26.2206509432145,34.2792227082017
"PSME",35,"o","55",380,"55_380_o",8.22389484502907,91.7761051549709,71.9420438542726,28.0579561457274,30.5721800879972
"PSME",36,"n","55",380,"55_380_n",40.422702204876,59.577297795124,86.1036541630156,13.8963458369844,23.3249011809356
"PSME",36,"o","55",380,"55_380_o",9.97104205006877,90.0289579499312,86.7484282786962,13.2515717213038,14.7192325925549
"PSME",37,"n","55",270,"55_270_n",23.9280669248134,76.0719330751866,71.9400262247506,28.0599737752494,36.8861058749698
"PSME",37,"o","55",270,"55_270_o",6.74645610484179,93.2535438951582,74.9868661025357,25.0131338974643,26.8227167061723
"PSME",38,"n","55",270,"55_270_n",19.7931009409108,80.2068990590892,82.6078694961145,17.3921305038855,21.6840829254259
"PSME",38,"o","55",270,"55_270_o",5.54638718624814,94.4536128137519,68.4236443852494,31.5763556147506,33.4305429661164
