"groupVar","temperature","intercept","estimate","delta1","delta2","std.err","AdjR2","f.stat","est.min1","est.max1","est.min2","est.max2"
"PIPO_spring_o",45,-23.0162612133318,-8.92623903765354,0.0829576199640687,0.0523173691625943,0.00130042630129328,0.991465875552177,57973.1417147569,-9.08883597278311,-8.76364210252396,-9.02878108121222,-8.82369699409485
"PIPO_spring_o",50,-23.0162612133318,-7.36068101813373,0.0826904781487484,0.0518927314993243,0.00130042630129328,0.991465875552177,57973.1417147569,-7.52275435530528,-7.19860768096218,-7.46239077187241,-7.25897126439506
"PIPO_spring_o",55,-23.0162612133318,-5.79512299861392,0.0794897164636318,0.0466235501593444,0.00130042630129328,0.991465875552177,57973.1417147569,-5.95092284288264,-5.63932315434521,-5.88650515692624,-5.70374084030161
"PIPO_spring_o",60,-23.0162612133318,-4.22956497909412,0.082376661440506,0.0513911933708109,0.00130042630129328,0.991465875552177,57973.1417147569,-4.39102323551751,-4.06810672267073,-4.33029171810091,-4.12883824008733
"PIPO_spring_o",65,-23.0162612133318,-2.66400695957431,0.0800377632480392,0.0475519079716209,0.00130042630129328,0.991465875552177,57973.1417147569,-2.82088097554047,-2.50713294360816,-2.75720869919869,-2.57080521994994
"PIPO_spring_n",45,-27.052012113925,-6.94378766818733,0.503676447157149,0.0549609538156418,0.00708629653807524,0.888475232092683,3976.34242064233,-7.93099350461534,-5.95658183175932,-7.05151113766599,-6.83606419870867
"PIPO_spring_n",50,-27.052012113925,-4.70954050754981,0.503584395922048,0.054110875428615,0.00708629653807524,0.888475232092683,3976.34242064233,-5.69656592355703,-3.7225150915426,-4.8155978233899,-4.60348319170973
"PIPO_spring_n",55,-27.052012113925,-2.4752933469123,0.503185470727082,0.0502629184818352,0.00708629653807524,0.888475232092683,3976.34242064233,-3.46153686953737,-1.48904982428722,-2.57380866713669,-2.3767780266879
"PIPO_spring_n",60,-27.052012113925,-0.241046186274779,0.502823475710749,0.0464993628915001,0.00708629653807524,0.888475232092683,3976.34242064233,-1.22658019866785,0.744487826118289,-0.33218493754212,-0.149907435007439
"PIPO_spring_n",65,-27.052012113925,1.99320097436274,0.502709088528451,0.0452456706501672,0.00708629653807524,0.888475232092683,3976.34242064233,1.00789116084697,2.9785107878785,1.90451945988841,2.08188248883706
"PIPO_autumn_o",45,-24.1510009951798,-9.03264592641591,0.157288822842349,0.0618086339511186,0.0027227845116117,0.968263068988648,15225.0073639292,-9.34093201918691,-8.72435983364491,-9.1537908489601,-8.91150100387172
"PIPO_autumn_o",50,-24.1510009951798,-7.35282869655325,0.153402984794107,0.0511176015039114,0.0027227845116117,0.968263068988648,15225.0073639292,-7.6534985467497,-7.0521588463568,-7.45301919550092,-7.25263819760559
"PIPO_autumn_o",55,-24.1510009951798,-5.6730114666906,0.152622807645086,0.048726326079855,0.0027227845116117,0.968263068988648,15225.0073639292,-5.97215216967496,-5.37387076370623,-5.76851506580711,-5.57750786757408
"PIPO_autumn_o",60,-24.1510009951798,-3.99319423682794,0.15008810642478,0.0400870693609255,0.0027227845116117,0.968263068988648,15225.0073639292,-4.28736692542051,-3.69902154823537,-4.07176489277536,-3.91462358088053
"PIPO_autumn_o",65,-24.1510009951798,-2.31337700696529,0.149753081452104,0.0388139001412133,0.0027227845116117,0.968263068988648,15225.0073639292,-2.60689304661141,-2.01986096731916,-2.38945225124206,-2.23730176268851
"PIPO_autumn_n",45,-24.3679556794975,-8.72377390586077,0.131566576750852,0.0587649184503586,0.00214148788388311,0.981416775816474,26354.1756543391,-8.98164439629244,-8.4659034154291,-8.83895314602347,-8.60859466569807
"PIPO_autumn_n",50,-24.3679556794975,-6.9855314865678,0.130445304727706,0.0562096882044685,0.00214148788388311,0.981416775816474,26354.1756543391,-7.2412042838341,-6.7298586893015,-7.09570247544856,-6.87536049768704
"PIPO_autumn_n",55,-24.3679556794975,-5.24728906727483,0.125478137331766,0.0434547404869611,0.00214148788388311,0.981416775816474,26354.1756543391,-5.49322621644509,-5.00135191810457,-5.33246035862927,-5.16211777592039
"PIPO_autumn_n",60,-24.3679556794975,-3.50904664798186,0.123497404558818,0.0373518467455631,0.00214148788388311,0.981416775816474,26354.1756543391,-3.75110156091715,-3.26699173504658,-3.58225626760317,-3.43583702836056
"PIPO_autumn_n",65,-24.3679556794975,-1.77080422868889,0.122630421949171,0.0343769095465455,0.00214148788388311,0.981416775816474,26354.1756543391,-2.01115985570927,-1.53044860166852,-1.83818297140012,-1.70342548597766
"PSME_spring_o",45,-33.2928685336835,-8.82350607635329,0.203700524607661,0.0616244892840609,0.00225823621545154,0.991466941375922,57980.4450668108,-9.22275910458431,-8.42425304812228,-8.94429007535005,-8.70272207735654
"PSME_spring_o",50,-33.2928685336835,-6.10468802553882,0.19802212898175,0.0389414627428154,0.00225823621545154,0.991466941375922,57980.4450668108,-6.49281139834305,-5.71656465273459,-6.18101329251474,-6.0283627585629
"PSME_spring_o",55,-33.2928685336835,-3.38586997472435,0.198714986867146,0.0423239879937511,0.00225823621545154,0.991466941375922,57980.4450668108,-3.77535134898396,-2.99638860046474,-3.4688249911921,-3.3029149582566
"PSME_spring_o",60,-33.2928685336835,-0.667051923909881,0.200476212764391,0.0499438268301344,0.00225823621545154,0.991466941375922,57980.4450668108,-1.05998530092809,-0.274118546891675,-0.764941824496944,-0.569162023322817
"PSME_spring_o",65,-33.2928685336835,2.05176612690459,0.198911843234935,0.0432388174353147,0.00225823621545154,0.991466941375922,57980.4450668108,1.66189891416412,2.44163333964506,1.96701804473137,2.13651420907781
"PSME_spring_n",45,-21.298586492101,-5.26589581550103,0.20129714725199,0.0585594388960567,0.00341878917388553,0.956067498611204,10860.3334484854,-5.66043822411493,-4.87135340688713,-5.3806723157373,-5.15111931526476
"PSME_spring_n",50,-21.298586492101,-3.48448574032325,0.199588199195502,0.0523843072888753,0.00341878917388553,0.956067498611204,10860.3334484854,-3.87567861074643,-3.09329286990006,-3.58715898260944,-3.38181249803705
"PSME_spring_n",55,-21.298586492101,-1.70307566514547,0.196917151191307,0.0410491269740532,0.00341878917388553,0.956067498611204,10860.3334484854,-2.08903328148043,-1.31711804881051,-1.78353195401461,-1.62261937627633
"PSME_spring_n",60,-21.298586492101,0.0783344100323085,0.199265038159064,0.0511392395775008,0.00341878917388553,0.956067498611204,10860.3334484854,-0.312225064759457,0.468893884824074,-0.0218984995395931,0.17856731960421
"PSME_spring_n",65,-21.298586492101,1.85974448521009,0.196282834936619,0.0378895458245108,0.00341878917388553,0.956067498611204,10860.3334484854,1.47503012873432,2.24445884168586,1.78548097539405,1.93400799502613
"PSME_autumn_o",45,-33.3140802266614,-9.95330782864905,0.317242301738974,0.0657620780094854,0.00378102109564667,0.974210366902794,18850.8599903368,-10.5751027400574,-9.33151291724066,-10.0822015015476,-9.82441415575045
"PSME_autumn_o",50,-33.3140802266614,-7.35766645109211,0.314511867989118,0.0509871356077956,0.00378102109564667,0.974210366902794,18850.8599903368,-7.97410971235078,-6.74122318983344,-7.45760123688339,-7.25773166530083
"PSME_autumn_o",55,-33.3140802266614,-4.76202507353518,0.314731559973079,0.0523252112711544,0.00378102109564667,0.974210366902794,18850.8599903368,-5.37889893108242,-4.14515121598795,-4.86458248762664,-4.65946765944372
"PSME_autumn_o",60,-33.3140802266614,-2.16638369597825,0.31287673749702,0.0396714728521958,0.00378102109564667,0.974210366902794,18850.8599903368,-2.77962210147241,-1.55314529048409,-2.24413978276855,-2.08862760918794
"PSME_autumn_o",65,-33.3140802266614,0.429257681578683,0.312784343409102,0.0389360806109977,0.00378102109564667,0.974210366902794,18850.8599903368,-0.183799631503156,1.04231499466052,0.352942963581128,0.505572399576238
"PSME_autumn_n",45,-33.67505114225,-9.69802324298538,0.304573839543667,0.061403420692468,0.0035410298115809,0.978435206924028,22641.5681953467,-10.294987968491,-9.10105851747979,-9.81837394754262,-9.57767253842814
"PSME_autumn_n",50,-33.67505114225,-7.03390903195598,0.302763933302077,0.051683224037494,0.0035410298115809,0.978435206924028,22641.5681953467,-7.62732634122805,-6.44049172268391,-7.13520815106947,-6.93260991284249
"PSME_autumn_n",55,-33.67505114225,-4.36979482092659,0.30188194350956,0.0462370431091178,0.0035410298115809,0.978435206924028,22641.5681953467,-4.96148343020532,-3.77810621164785,-4.46041942542046,-4.27917021643272
"PSME_autumn_n",60,-33.67505114225,-1.70568060989719,0.300970085873037,0.0398515862769352,0.0035410298115809,0.978435206924028,22641.5681953467,-2.29558197820834,-1.11577924158603,-1.78378971899998,-1.62757150079439
"PSME_autumn_n",65,-33.67505114225,0.958433601132214,0.300374700183492,0.0350730216646303,0.0035410298115809,0.978435206924028,22641.5681953467,0.36969918877257,1.54716801349186,0.889690478669538,1.02717672359489
