"groupVar","temperature","intercept","estimate","delta1","delta2","std.err","AdjR2","f.stat","est.min1","est.max1","est.min2","est.max2"
"PIPO_spring_o",45,-16.2288830215444,-7.06829811532507,0.0670007625573896,0.0523173691625943,0.00335716584942555,0.880474717329567,3676.84894284578,-7.19961960993756,-6.93697662071259,-7.17084015888376,-6.96575607176639
"PIPO_spring_o",50,-16.2288830215444,-6.05045534796738,0.0666697131360072,0.0518927314993243,0.00335716584942555,0.880474717329567,3676.84894284578,-6.18112798571395,-5.9197827102208,-6.15216510170605,-5.9487455942287
"PIPO_spring_o",55,-16.2288830215444,-5.03261258060968,0.0626558097596498,0.0466235501593444,0.00335716584942555,0.880474717329567,3676.84894284578,-5.15541796773859,-4.90980719348076,-5.12399473892199,-4.94123042229736
"PIPO_spring_o",60,-16.2288830215444,-4.01476981325198,0.0662800861741489,0.0513911933708109,0.00335716584942555,0.880474717329567,3676.84894284578,-4.14467878215331,-3.88486084435065,-4.11549655225877,-3.91404307424519
"PIPO_spring_o",65,-16.2288830215444,-2.99692704589428,0.0633496568176816,0.0475519079716209,0.00335716584942555,0.880474717329567,3676.84894284578,-3.12109237325694,-2.87276171853163,-3.09012878551866,-2.9037253062699
"PIPO_spring_n",45,-20.675983234529,-8.09348238366074,0.318072455340154,0.0549609538156418,0.002872518274444,0.949965352936941,9475.0892349676,-8.71690439612744,-7.47006037119404,-8.2012058531394,-7.98575891418208
"PIPO_spring_n",50,-20.675983234529,-6.69542673356426,0.317926669597629,0.054110875428615,0.002872518274444,0.949965352936941,9475.0892349676,-7.31856300597562,-6.07229046115291,-6.80148404940435,-6.58936941772418
"PIPO_spring_n",55,-20.675983234529,-5.29737108346779,0.317294408044171,0.0502629184818352,0.002872518274444,0.949965352936941,9475.0892349676,-5.91926812323436,-4.67547404370121,-5.39588640369218,-5.19885576324339
"PIPO_spring_n",60,-20.675983234529,-3.89931543337131,0.316720020129932,0.0464993628915001,0.002872518274444,0.949965352936941,9475.0892349676,-4.52008667282598,-3.27854419391665,-3.99045418463865,-3.80817668210397
"PIPO_spring_n",65,-20.675983234529,-2.50125978327484,0.316538388058025,0.0452456706501672,0.002872518274444,0.949965352936941,9475.0892349676,-3.12167502386857,-1.88084454268111,-2.58994129774917,-2.41257826880051
"PIPO_autumn_o",45,-15.6404947410438,-6.90223638811538,0.103965979824668,0.0618086339511186,0.00212441645333963,0.943634799508349,8354.98013042489,-7.10600970857173,-6.69846306765903,-7.02338131065958,-6.78109146557119
"PIPO_autumn_o",50,-15.6404947410438,-5.93131879334556,0.0979878916678621,0.0511176015039114,0.00212441645333963,0.943634799508349,8354.98013042489,-6.12337506101457,-5.73926252567655,-6.03150929229322,-5.83112829439789
"PIPO_autumn_o",55,-15.6404947410438,-4.96040119857573,0.0967619376782025,0.048726326079855,0.00212441645333963,0.943634799508349,8354.98013042489,-5.15005459642501,-4.77074780072645,-5.05590479769224,-4.86489759945921
